Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw1_S2,1,38.1074,-121.6469,2016-01-06,10SFH,0.0888,0.0486,0.0608,0.0777,0.0926,0.1199,0.1419,0.1456,-0.0195,0.0076,0.1435,0.1209,0.1689,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-01-16,10SFH,0.6209,0.608,0.5911,0.5637,0.5633,0.56,0.5637,0.571,0.1999,0.0092,0.2062,0.0941,0.5598,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-01-26,10SFH,0.273,0.3075,0.3329,0.3753,0.3937,0.4089,0.4231,0.4195,0.0562,0.0018,0.4215,0.3655,0.4427,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-02-05,10SFH,0.0331,0.0406,0.0579,0.0834,0.099,0.1225,0.1374,0.1392,0.0405,0.0026,0.2336,0.1558,0.1612,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-03-26,10SFH,0.0284,0.0511,0.0736,0.0878,0.1101,0.1635,0.1801,0.1841,0.0718,0.0192,0.2318,0.158,0.2004,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-04-05,10SFH,0.0347,0.0423,0.0602,0.0791,0.0957,0.1376,0.1581,0.1518,0.0983,0.0013,0.2378,0.158,0.1706,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-04-15,10SFH,0.033,0.0378,0.0571,0.0684,0.0889,0.1401,0.1646,0.1686,0.1157,0.0011,0.22,0.1458,0.1885,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-05-15,10SFH,0.0259,0.0363,0.0576,0.0698,0.0942,0.1716,0.202,0.1919,0.0725,0.0011,0.2101,0.1271,0.2333,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-05-25,10SFH,0.0228,0.0324,0.0565,0.0653,0.0951,0.1941,0.2328,0.2242,0.0615,0.0008,0.1995,0.1155,0.2541,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw1_S2,1,38.1074,-121.6469,2016-06-14,10SFH,0.0214,0.029,0.057,0.0648,0.1025,0.2154,0.2634,0.2638,0.1018,0.0018,0.1945,0.11,0.2998,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
