Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_S2,1,38.1027,-121.6413,2016-01-06,10SFH,0.02,-0.0065,0.008,0.0751,0.1032,0.1321,0.151,0.1393,-0.0314,0.0056,0.1469,0.1223,0.1811,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-01-16,10SFH,0.5767,0.4993,0.4902,0.4756,0.4733,0.4804,0.4893,0.456,0.1766,0.0073,0.1612,0.0772,0.4934,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-01-26,10SFH,0.4066,0.4033,0.428,0.4568,0.4745,0.4875,0.502,0.4834,0.0876,0.0024,0.4596,0.3921,0.5123,66.0,0b01000010,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-02-05,10SFH,0.0251,0.0334,0.0495,0.0716,0.0871,0.117,0.1303,0.1298,0.0302,0.0025,0.1809,0.1241,0.1539,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-03-26,10SFH,0.0256,0.0377,0.06,0.072,0.0893,0.1476,0.17,0.1687,0.0452,0.0157,0.1699,0.1193,0.1832,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-04-05,10SFH,0.0233,0.0322,0.0505,0.0621,0.0808,0.1301,0.1503,0.1571,0.0547,0.0013,0.1634,0.1106,0.167,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-04-15,10SFH,0.0191,0.0322,0.0533,0.0623,0.0818,0.1437,0.1719,0.1803,0.0726,0.0015,0.1526,0.1036,0.1919,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-05-15,10SFH,0.0158,0.0334,0.0526,0.0643,0.0835,0.1569,0.1926,0.197,0.0425,0.0009,0.1571,0.0981,0.2121,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-05-25,10SFH,0.0134,0.0345,0.0595,0.0712,0.0915,0.1805,0.2232,0.2278,0.0291,0.0007,0.1629,0.0991,0.2418,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-06-14,10SFH,0.0148,0.0373,0.0624,0.0701,0.0936,0.1951,0.2479,0.2521,0.0546,0.0017,0.1589,0.0991,0.2804,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-06-24,10SFH,0.017,0.0234,0.0453,0.0576,0.0825,0.1614,0.2037,0.2048,0.0716,0.001,0.1538,0.0946,0.2257,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2016-07-14,10SFH,0.0143,0.0231,0.045,0.0577,0.0877,0.1622,0.1984,0.2067,0.0559,0.0009,0.1529,0.0927,0.2352,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
