Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSL30_020_B01,HLSL30_020_B02,HLSL30_020_B03,HLSL30_020_B04,HLSL30_020_B05,HLSL30_020_B06,HLSL30_020_B07,HLSL30_020_B09,HLSL30_020_B10,HLSL30_020_B11,HLSL30_020_Fmask,HLSL30_020_Fmask_bitmask,HLSL30_020_Fmask_Aerosol_level,HLSL30_020_Fmask_Aerosol_level_Description,HLSL30_020_Fmask_Water,HLSL30_020_Fmask_Water_Description,HLSL30_020_Fmask_Snow/ice,HLSL30_020_Fmask_Snow/ice_Description,HLSL30_020_Fmask_Cloud_shadow,HLSL30_020_Fmask_Cloud_shadow_Description,HLSL30_020_Fmask_Adjacent_to_cloud/shadow,HLSL30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSL30_020_Fmask_Cloud,HLSL30_020_Fmask_Cloud_Description,"HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSL30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_LS,1,38.1027,-121.6413,2018-01-24,10SFH,0.9634,0.9614,0.906,0.8918,0.8584,0.4689,0.4608,0.2554,-40.28,-40.29,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-02-09,10SFH,0.0325,0.0392,0.057,0.0677,0.1718,0.2055,0.1318,0.0019,17.16,16.89,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-02-25,10SFH,0.0391,0.0452,0.0632,0.0763,0.1748,0.2126,0.1358,0.0022,13.35,12.98,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-03-29,10SFH,0.0381,0.0447,0.0652,0.0739,0.2079,0.2153,0.139,0.0012,23.48,22.7,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-04-14,10SFH,0.0398,0.0463,0.069,0.0723,0.2249,0.212,0.1362,0.0015,22.37,20.93,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-04-30,10SFH,0.0072,0.0156,0.0773,0.0999,0.3074,0.1727,0.1378,0.0424,-8.9,-10.5,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-05-16,10SFH,0.1666,0.1624,0.1983,0.2126,0.37,0.1868,0.165,0.0829,-16.47,-15.31,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-06-01,10SFH,0.0305,0.0395,0.0687,0.0759,0.2708,0.1961,0.1167,0.0013,25.26,23.79,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-06-17,10SFH,0.0291,0.043,0.0814,0.087,0.322,0.2126,0.1323,0.0012,19.95,17.37,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-07-03,10SFH,0.029,0.0412,0.0743,0.0796,0.2856,0.1811,0.1059,0.0012,24.9,24.19,196.0,0b11000100,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-07-19,10SFH,0.0229,0.0323,0.0585,0.0619,0.2899,0.1632,0.0895,0.0007,28.04,26.9,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_LS,1,38.1027,-121.6413,2018-08-04,10SFH,0.0231,0.0376,0.0724,0.0746,0.3134,0.1719,0.0945,0.0012,27.91,26.74,192.0,0b11000000,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
