Category,ID,Latitude,Longitude,Date,HLS_Tile,HLSS30_020_B01,HLSS30_020_B02,HLSS30_020_B03,HLSS30_020_B04,HLSS30_020_B05,HLSS30_020_B06,HLSS30_020_B07,HLSS30_020_B08,HLSS30_020_B09,HLSS30_020_B10,HLSS30_020_B11,HLSS30_020_B12,HLSS30_020_B8A,HLSS30_020_Fmask,HLSS30_020_Fmask_bitmask,HLSS30_020_Fmask_Aerosol_level,HLSS30_020_Fmask_Aerosol_level_Description,HLSS30_020_Fmask_Water,HLSS30_020_Fmask_Water_Description,HLSS30_020_Fmask_Snow/ice,HLSS30_020_Fmask_Snow/ice_Description,HLSS30_020_Fmask_Cloud_shadow,HLSS30_020_Fmask_Cloud_shadow_Description,HLSS30_020_Fmask_Adjacent_to_cloud/shadow,HLSS30_020_Fmask_Adjacent_to_cloud/shadow_Description,HLSS30_020_Fmask_Cloud,HLSS30_020_Fmask_Cloud_Description,"HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used","HLSS30_020_Fmask_Cirrus_/_Reserved,_but_not_used_Description"
US-Tw4_S2,1,38.1027,-121.6413,2018-01-10,10SFH,0.55,0.4772,0.4671,0.464,0.4589,0.4769,0.4851,0.4561,0.1196,0.0441,0.317,0.2206,0.4941,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-01-20,10SFH,0.0312,0.0349,0.0491,0.0667,0.0859,0.1189,0.129,0.1316,0.0606,0.0011,0.1962,0.1293,0.1567,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-01-25,10SFH,0.0314,0.0345,0.0503,0.0699,0.0915,0.1194,0.1346,0.1382,0.0494,0.0016,0.1895,0.1214,0.1684,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-01-30,10SFH,0.2616,0.2699,0.2733,0.3012,0.3127,0.3491,0.3685,0.3585,0.0954,0.0685,0.3188,0.266,0.3889,194.0,0b11000010,0b11,High aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b1,Yes,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-02-09,10SFH,0.0343,0.0364,0.0526,0.0689,0.0902,0.1243,0.1427,0.1362,0.062,0.0033,0.2087,0.1355,0.1697,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-02-19,10SFH,0.0352,0.0379,0.0561,0.0733,0.096,0.1287,0.1522,0.1491,0.0884,0.002,0.2148,0.1388,0.1734,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-02-24,10SFH,0.0342,0.0431,0.0664,0.085,0.1109,0.1558,0.1792,0.1749,0.0759,0.0111,0.225,0.1482,0.197,128.0,0b10000000,0b10,Moderate aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-03-06,10SFH,0.0358,0.0433,0.0631,0.0799,0.1089,0.1431,0.161,0.1676,0.0833,0.0011,0.2198,0.143,0.2008,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-03-11,10SFH,0.0353,0.0421,0.0635,0.0793,0.1087,0.1523,0.1639,0.1687,0.0604,0.0016,0.2253,0.1422,0.1968,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
US-Tw4_S2,1,38.1027,-121.6413,2018-03-26,10SFH,0.0381,0.047,0.0685,0.0787,0.1086,0.1596,0.1766,0.1803,0.0918,0.0015,0.218,0.1449,0.2032,64.0,0b01000000,0b01,Low aerosol,0b0,No,0b0,No,0b0,No,0b0,No,0b0,No,0b0,"Reserved, but not used"
