site,latitude,longitude,TIMESTAMP,date,date_mdy,GPP_NT_VUT_REF,sensor,hls_tile,B01,B02,B03,B04,nir,swir1,swir2,fmask,cloud,cshadow,aerosol,is_clear,EVI,NDMI,NDWI,VARI
US-Tw1,38.1074,-121.6469,20160204,2016-02-04,02-04-2016,-0.17134,US-Tw1_LS,10SFH,0.0425,0.0514,0.0691,0.0893,0.1656,0.241,0.1528,64,0b0,0b0,Low aerosol,TRUE,0.14495782354282238,-0.1854402361042794,-0.41116318704729443,-0.1887850467289721
US-Tw1,38.1074,-121.6469,20160205,2016-02-05,02-05-2016,-0.104128,US-Tw1_S2,10SFH,0.0331,0.0406,0.0579,0.0834,0.1612,0.2336,0.1558,64,0b0,0b0,Low aerosol,TRUE,0.1433203153783804,-0.18338399189463014,-0.47147421268827017,-0.253227408142999
US-Tw1,38.1074,-121.6469,20160405,2016-04-05,04-05-2016,0.97749,US-Tw1_S2,10SFH,0.0347,0.0423,0.0602,0.0791,0.1706,0.2378,0.158,64,0b0,0b0,Low aerosol,TRUE,0.17225799164125155,-0.16454456415279142,-0.47833622183708835,-0.19484536082474233
US-Tw1,38.1074,-121.6469,20160415,2016-04-15,04-15-2016,2.18705,US-Tw1_S2,10SFH,0.033,0.0378,0.0571,0.0684,0.1885,0.22,0.1458,64,0b0,0b0,Low aerosol,TRUE,0.22825756423901478,-0.07711138310893513,-0.5350162866449513,-0.12884834663626002
US-Tw1,38.1074,-121.6469,20160424,2016-04-24,04-24-2016,2.83524,US-Tw1_LS,10SFH,0.045,0.0492,0.0657,0.0707,0.2315,0.2315,0.1416,64,0b0,0b0,Low aerosol,TRUE,0.31242713919328513,0,-0.5578734858681023,-0.057339449541284455
US-Tw1,38.1074,-121.6469,20160510,2016-05-10,05-10-2016,4.97969,US-Tw1_LS,10SFH,0.0338,0.0395,0.0611,0.064,0.2374,0.2112,0.1241,64,0b0,0b0,Low aerosol,TRUE,0.32713277742142405,0.058403923316986184,-0.5906197654941374,-0.0338785046728972
US-Tw1,38.1074,-121.6469,20160515,2016-05-15,05-15-2016,5.28669,US-Tw1_S2,10SFH,0.0259,0.0363,0.0576,0.0698,0.2333,0.2101,0.1271,64,0b0,0b0,Low aerosol,TRUE,0.2962278508533536,0.05232295895354082,-0.6039876246132693,-0.13391877058177828
US-Tw1,38.1074,-121.6469,20160526,2016-05-26,05-26-2016,7.20693,US-Tw1_LS,10SFH,0.028,0.035,0.0584,0.0617,0.2466,0.1971,0.1118,64,0b0,0b0,Low aerosol,TRUE,0.34132023923798277,0.11156186612576069,-0.6170491803278689,-0.03877790834312571
US-Tw1,38.1074,-121.6469,20160611,2016-06-11,06-11-2016,7.90099,US-Tw1_LS,10SFH,0.0279,0.0361,0.0601,0.0669,0.2662,0.199,0.1126,64,0b0,0b0,Low aerosol,TRUE,0.35669542184200165,0.1444539982803095,-0.6316273368066198,-0.0748074807480748
US-Tw1,38.1074,-121.6469,20160624,2016-06-24,06-24-2016,9.43334,US-Tw1_S2,10SFH,0.0219,0.0295,0.0538,0.0644,0.2629,0.1965,0.1136,64,0b0,0b0,Low aerosol,TRUE,0.3475018381709324,0.14453635176316937,-0.6602462898642247,-0.11950394588500561
