site,latitude,longitude,TIMESTAMP,date,date_mdy,GPP_NT_VUT_REF,sensor,hls_tile,B01,B02,B03,B04,nir,swir1,swir2,fmask,cloud,cshadow,aerosol,is_clear
US-Tw1,38.1074,-121.6469,20160204,2016-02-04,02-04-2016,-0.17134,US-Tw1_LS,10SFH,0.0425,0.0514,0.0691,0.0893,0.1656,0.241,0.1528,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160205,2016-02-05,02-05-2016,-0.104128,US-Tw1_S2,10SFH,0.0331,0.0406,0.0579,0.0834,0.1612,0.2336,0.1558,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160405,2016-04-05,04-05-2016,0.97749,US-Tw1_S2,10SFH,0.0347,0.0423,0.0602,0.0791,0.1706,0.2378,0.158,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160415,2016-04-15,04-15-2016,2.18705,US-Tw1_S2,10SFH,0.033,0.0378,0.0571,0.0684,0.1885,0.22,0.1458,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160424,2016-04-24,04-24-2016,2.83524,US-Tw1_LS,10SFH,0.045,0.0492,0.0657,0.0707,0.2315,0.2315,0.1416,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160510,2016-05-10,05-10-2016,4.97969,US-Tw1_LS,10SFH,0.0338,0.0395,0.0611,0.064,0.2374,0.2112,0.1241,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160515,2016-05-15,05-15-2016,5.28669,US-Tw1_S2,10SFH,0.0259,0.0363,0.0576,0.0698,0.2333,0.2101,0.1271,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160526,2016-05-26,05-26-2016,7.20693,US-Tw1_LS,10SFH,0.028,0.035,0.0584,0.0617,0.2466,0.1971,0.1118,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160611,2016-06-11,06-11-2016,7.90099,US-Tw1_LS,10SFH,0.0279,0.0361,0.0601,0.0669,0.2662,0.199,0.1126,64,0b0,0b0,Low aerosol,TRUE
US-Tw1,38.1074,-121.6469,20160624,2016-06-24,06-24-2016,9.43334,US-Tw1_S2,10SFH,0.0219,0.0295,0.0538,0.0644,0.2629,0.1965,0.1136,64,0b0,0b0,Low aerosol,TRUE
